"","artist.name","title","song.hotttnesss","artist.familiarity","sa.hf","youtube","artist.longitude","artist.latitude"
"468","Bob Neuwirth","Biding Her Time",0.480610618387753,0.434272037449513,1.10670404019192,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Bob Neuwirth Biding Her Time\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"520","First Blood","Execution",0.74644197927874,0.662374025887687,1.12691915761399,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=First Blood Execution\"" frameborder=\""0\"" allowfullscreen></iframe>",237.57995,37.77916
"595","Vince Guaraldi","Peppermint Patty (LP Version)",0.673074434949705,0.578103629719863,1.16427989783746,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Vince Guaraldi Peppermint Patty (LP Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",237.57995,37.77916
"647","John Doan","In John Fahey There Is No East or West (feat. John Doan)",0.537317923116206,0.535822609777769,1.00279068727439,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=John Doan In John Fahey There Is No East or West (feat. John Doan)\"" frameborder=\""0\"" allowfullscreen></iframe>",239.48516,44.11559
"686","Patton Oswalt","You Are Allowed 20 Birthday Parties (Album)",0.618047725796724,0.592797346266531,1.04259529785216,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Patton Oswalt You Are Allowed 20 Birthday Parties (Album)\"" frameborder=\""0\"" allowfullscreen></iframe>",283.70229,36.83264
"706","Ms. Dynamite","Natural High (Interlude)",0.606807292841299,0.589694605246746,1.02901957630661,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Ms. Dynamite Natural High (Interlude)\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"734","Otis Spann","Evil Ways",0.680655631141052,0.53446435222876,1.27352858671053,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Otis Spann Evil Ways\"" frameborder=\""0\"" allowfullscreen></iframe>",269.81951,32.29869
"782","Basic Channel","Q Loop",0.593934981131075,0.553637086196396,1.07278756416326,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Basic Channel Q Loop\"" frameborder=\""0\"" allowfullscreen></iframe>",13.37698,52.51607
"826","Francis Dunnery","Too Much Saturn",0.610474257771525,0.548585130198109,1.11281590434481,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Francis Dunnery Too Much Saturn\"" frameborder=\""0\"" allowfullscreen></iframe>",356.46556,54.48303
"980","Wilshire","Special",0.495293621292163,0.450562133115631,1.09927928889011,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Wilshire Special\"" frameborder=\""0\"" allowfullscreen></iframe>",280.2053,36.06899
"987","Lighthouse Family","Ocean Drive",0.84861676091779,0.663229687566787,1.27952167526025,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Lighthouse Family Ocean Drive\"" frameborder=\""0\"" allowfullscreen></iframe>",358.38763,54.97791
"988","Lighthouse Family","Run",0.793987460441772,0.663229687566787,1.19715307581405,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Lighthouse Family Run\"" frameborder=\""0\"" allowfullscreen></iframe>",358.38763,54.97791
"1075","Les Rythmes Digitales feat. Nik Kershaw","Sometimes",0.699913603349083,0.590816513592266,1.18465477393902,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Les Rythmes Digitales feat. Nik Kershaw Sometimes\"" frameborder=\""0\"" allowfullscreen></iframe>",2.34121,48.85692
"1076","Radio Moscow","Broke Down",0.721199658390565,0.61656608065897,1.16970375279121,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Radio Moscow Broke Down\"" frameborder=\""0\"" allowfullscreen></iframe>",266.3798,42.02534
"1078","Sinch","Plasma (Album Version)",0.611214622611139,0.537950519087611,1.13619115685173,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Sinch Plasma (Album Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",282.39546,40.99471
"1109","Kix","Contrary Mary  (LP Version)",0.239629097773637,0.233440455815421,1.02651058033878,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Kix Contrary Mary  (LP Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",282.28242,39.6425
"1183","SUE THOMPSON","James (Hold The Ladder Steady)",0.495293621292163,0.435415818155069,1.13751866753672,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=SUE THOMPSON James (Hold The Ladder Steady)\"" frameborder=\""0\"" allowfullscreen></iframe>",265.64132,37.83721
"1262","Strata","Night Falls (The Weight Of It)",0.755262765181422,0.612837503827415,1.23240297870888,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Strata Night Falls (The Weight Of It)\"" frameborder=\""0\"" allowfullscreen></iframe>",238.05514,37.28848
"1334","Buddy Johnson","Did You See Jackie Robinson Hit That Ball?",0.501726081745458,0.382082404827719,1.31313579323729,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Buddy Johnson Did You See Jackie Robinson Hit That Ball?\"" frameborder=\""0\"" allowfullscreen></iframe>",280.12838,34.30246
"1390","Judas Iscariot","Babylon",0.566312580926367,0.544161995405788,1.04070586646548,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Judas Iscariot Babylon\"" frameborder=\""0\"" allowfullscreen></iframe>",271.2507,41.9293
"1447","Chris Clark","Tyre",0.611302923183568,0.597281477904486,1.02347543963405,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Chris Clark Tyre\"" frameborder=\""0\"" allowfullscreen></iframe>",241.75468,34.05349
"1448","Chris Clark","Gavel Obliterated",0.601644709829397,0.597281477904486,1.00730515190295,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Chris Clark Gavel Obliterated\"" frameborder=\""0\"" allowfullscreen></iframe>",241.75468,34.05349
"1475","Britt Nicole","Set The World On Fire",0.683373248366087,0.669500125220809,1.02072161396639,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Britt Nicole Set The World On Fire\"" frameborder=\""0\"" allowfullscreen></iframe>",279.53065,35.66693
"1511","Eastmountainsouth","Hard Times",0.733990878524206,0.583290824134981,1.2583617779565,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Eastmountainsouth Hard Times\"" frameborder=\""0\"" allowfullscreen></iframe>",241.75468,34.05349
"1733","32 Leaves","Way Beyond",0.662493160819622,0.646880870624146,1.02413472233367,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=32 Leaves Way Beyond\"" frameborder=\""0\"" allowfullscreen></iframe>",248.0693,34.16788
"1770","Suzi Quatro","Mama's Boy",0.637783285651848,0.627361447084832,1.01661217566914,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Suzi Quatro Mama's Boy\"" frameborder=\""0\"" allowfullscreen></iframe>",276.95208,42.33168
"1848","Johnny Pacheco","Mi Musica Es Para Ti",0.582918458497712,0.542232717105201,1.0750337264961,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Johnny Pacheco Mi Musica Es Para Ti\"" frameborder=\""0\"" allowfullscreen></iframe>",289.29281,19.45565
"1962","Russell Malone","Sugar Buzz",0.48456252996793,0.449257552526908,1.07858516176844,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Russell Malone Sugar Buzz\"" frameborder=\""0\"" allowfullscreen></iframe>",275.84399,31.58076
"1973","Tyrone Wells","Baby Don't You Change",0.722844727956539,0.689793071148974,1.04791532155072,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Tyrone Wells Baby Don't You Change\"" frameborder=\""0\"" allowfullscreen></iframe>",241.75468,34.05349
"1974","Tyrone Wells","Need",0.724910420099134,0.689793071148974,1.05090997636678,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Tyrone Wells Need\"" frameborder=\""0\"" allowfullscreen></iframe>",241.75468,34.05349
"2006","John Berry","She's Taken A Shine",0.606807292841299,0.566013953545302,1.07207126085935,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=John Berry She's Taken A Shine\"" frameborder=\""0\"" allowfullscreen></iframe>",278.27761,33.56173
"2019","Leon Russell","Out In The Woods",0.702259766574744,0.634226963390229,1.10726885974833,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Leon Russell Out In The Woods\"" frameborder=\""0\"" allowfullscreen></iframe>",261.61017,34.60515
"2080","Mary Black","Katie",0.599710295638551,0.597113362831375,1.00434914535301,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Mary Black Katie\"" frameborder=\""0\"" allowfullscreen></iframe>",351.75945,53.41961
"2086","Cass Fox","Touch Me",0.518340537882345,0.496378120336174,1.04424533766979,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Cass Fox Touch Me\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"2201","C.C. Adcock","Loaded Gun",0.492394196328965,0.423385846796091,1.16299163057784,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=C.C. Adcock Loaded Gun\"" frameborder=\""0\"" allowfullscreen></iframe>",268.47618,30.9742
"2202","C.C. Adcock","What I Like (Womens)",0.518950239745343,0.423385846796091,1.22571466115937,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=C.C. Adcock What I Like (Womens)\"" frameborder=\""0\"" allowfullscreen></iframe>",268.47618,30.9742
"2206","Motograter","Red (Main Version)",0.770578859880731,0.63231964076008,1.21865400061661,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Motograter Red (Main Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",240.30113,34.41925
"2249","The White Stripes","Blue Orchid",0.972386890817069,0.8788113434932,1.10647967623166,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The White Stripes Blue Orchid\"" frameborder=\""0\"" allowfullscreen></iframe>",276.95208,42.33168
"2349","Inspiral Carpets","Commercial Reign",0.665172240762197,0.605109701914858,1.09925892554238,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Inspiral Carpets Commercial Reign\"" frameborder=\""0\"" allowfullscreen></iframe>",357.75119,53.4796
"2352","Inspiral Carpets","Keep The Circle Around",0.64557891596693,0.605109701914858,1.06687913600461,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Inspiral Carpets Keep The Circle Around\"" frameborder=\""0\"" allowfullscreen></iframe>",357.75119,53.4796
"2411","Willie Rosario","Un Tipo Como Yo",0.569275650675479,0.555966789433425,1.02393823065514,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Willie Rosario Un Tipo Como Yo\"" frameborder=\""0\"" allowfullscreen></iframe>",293.57111,18.22328
"2424","The Strokes","Between Love & Hate",0.828400263956468,0.80704347985895,1.02646299069444,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Strokes Between Love & Hate\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"2643","Jimmy Johnson","Country Preacher",0.51142432568646,0.505378203075287,1.01196356030866,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Jimmy Johnson Country Preacher\"" frameborder=\""0\"" allowfullscreen></iframe>",270.49591,39.73926
"2719","Buddy Jewell","Sweet Southern Comfort",0.790803079677476,0.597220852724376,1.32413842562601,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Buddy Jewell Sweet Southern Comfort\"" frameborder=\""0\"" allowfullscreen></iframe>",269.66922,35.61301
"2726","Whitesnake","Fool For Your Loving",0.85259137966186,0.82243282937005,1.03666992514746,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Whitesnake Fool For Your Loving\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"2811","MC5","Miss X (LP Version)",0.675696807289805,0.654860822343043,1.03181742476548,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=MC5 Miss X (LP Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",276.81814,42.25147
"2845","M83","You Appearing",0.852088917765748,0.823548253021525,1.03465572859819,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=M83 You Appearing\"" frameborder=\""0\"" allowfullscreen></iframe>",7.12123,43.58015
"2944","Jay & The Americans","Let's Lock The Door (And Throw Away The Key)",0.557187767518634,0.547325146971606,1.01801967368318,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Jay & The Americans Let's Lock The Door (And Throw Away The Key)\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"2946","Jay & The Americans","Some Enchanted Evening",0.628296796060092,0.547325146971606,1.14794067025151,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Jay & The Americans Some Enchanted Evening\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"3133","Becoming The Archetype","End Of The Age",0.696230192726701,0.657826293472539,1.05838000036671,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Becoming The Archetype End Of The Age\"" frameborder=\""0\"" allowfullscreen></iframe>",275.60889,33.74831
"3150","Major Lance","Um_ Um_ Um_ Um_ Um_ Um (Curious Mind)",0.678221626893764,0.552021062189785,1.22861548833546,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Major Lance Um_ Um_ Um_ Um_ Um_ Um (Curious Mind)\"" frameborder=\""0\"" allowfullscreen></iframe>",272.36759,41.88415
"3185","Alexander O'Neal","Saturday Love",0.741621753898698,0.609123874817597,1.21752205841673,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Alexander O'Neal Saturday Love\"" frameborder=\""0\"" allowfullscreen></iframe>",266.73507,44.97903
"3205","The Ronettes","Born To Be Together",0.629768364996027,0.567278592228696,1.11015711437624,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Ronettes Born To Be Together\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"3268","RIDDLIN' KIDS","Stop The World",0.676548905600994,0.589072819804068,1.14849791546319,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=RIDDLIN' KIDS Stop The World\"" frameborder=\""0\"" allowfullscreen></iframe>",262.25702,30.2676
"3349","Jimmy Hughes","Neighbor_ Neighbor",0.576399981255411,0.452249985981235,1.27451630541195,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Jimmy Hughes Neighbor_ Neighbor\"" frameborder=\""0\"" allowfullscreen></iframe>",272.32475,34.80046
"3389","Orbital","Adnans",0.754274011148442,0.69300920358103,1.08840403165042,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Orbital Adnans\"" frameborder=\""0\"" allowfullscreen></iframe>",0.17898,51.27562
"3507","Public Image Ltd","The Suit",0.703402219510085,0.684994896580656,1.02687220448111,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Public Image Ltd The Suit\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"3508","Public Image Ltd","The Order Of Death",0.789938703581355,0.684994896580656,1.15320377936326,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Public Image Ltd The Order Of Death\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"3509","Public Image Ltd","This Is Not A Love Song",0.873618759789852,0.684994896580656,1.27536535549501,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Public Image Ltd This Is Not A Love Song\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"3540","Diamond D","Intro",0.720274942953518,0.605762456471112,1.18903859963442,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Diamond D Intro\"" frameborder=\""0\"" allowfullscreen></iframe>",278.45894,27.9758
"3604","Brand X","Hate Zone",0.624833533555656,0.601305751486192,1.03912781810471,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Brand X Hate Zone\"" frameborder=\""0\"" allowfullscreen></iframe>",270.41172,36.87652
"3683","Skeeter Davis","Santa Claus Is Coming To Town",0.473346541108788,0.0428482655036885,11.0470408905593,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Skeeter Davis Santa Claus Is Coming To Town\"" frameborder=\""0\"" allowfullscreen></iframe>",275.40569,38.68193
"3868","The Radio Department","I Don't Like It Like This",0.78821071120189,0.739454873899643,1.0659348379775,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Radio Department I Don't Like It Like This\"" frameborder=\""0\"" allowfullscreen></iframe>",13.1876,55.70622
"3949","Paul Stanley","Move On",0.705023455930907,0.588382121993814,1.19824078532814,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Paul Stanley Move On\"" frameborder=\""0\"" allowfullscreen></iframe>",286.16832,40.7038
"4019","Cauterize","Shooting Stars",0.714329037027886,0.537908276131679,1.32797554662092,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Cauterize Shooting Stars\"" frameborder=\""0\"" allowfullscreen></iframe>",269.40761,43.72233
"4036","Kings Of Leon","Genius",0.910225075499961,0.845768866448544,1.07621019359825,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Kings Of Leon Genius\"" frameborder=\""0\"" allowfullscreen></iframe>",273.22164,36.16778
"4106","The Rolling Stones","Angie (1993 Digital Remaster)",0.834492619890905,0.814829656133112,1.02413137962001,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Rolling Stones Angie (1993 Digital Remaster)\"" frameborder=\""0\"" allowfullscreen></iframe>",359.87286,51.50632
"4156","Pursuit Of Happiness","Hard To Laugh",0.5317220984213,0.508676201038482,1.04530563320197,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Pursuit Of Happiness Hard To Laugh\"" frameborder=\""0\"" allowfullscreen></iframe>",280.61467,43.64856
"4160","Pursuit Of Happiness","She's So Young",0.565451012173698,0.508676201038482,1.11161287085834,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Pursuit Of Happiness She's So Young\"" frameborder=\""0\"" allowfullscreen></iframe>",280.61467,43.64856
"4163","April Wine","Say Hello",0.754716331597099,0.656759787816968,1.14915125072705,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=April Wine Say Hello\"" frameborder=\""0\"" allowfullscreen></iframe>",296.42608,44.64616
"4298","Taking Back Sunday","Catholic Knees (Album Version)",0.637828866182213,0.548108773944928,1.16369030473922,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Taking Back Sunday Catholic Knees (Album Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",286.86415,40.85251
"4393","Fenton Robinson","Somebody Loan Me A Dime",0.642091037637501,0.438644698173761,1.46380667613392,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Fenton Robinson Somebody Loan Me A Dime\"" frameborder=\""0\"" allowfullscreen></iframe>",269.69493,33.7621
"4405","Maria Muldaur","It Ain't The Meat It's The Motion",0.636287224427332,0.586950621729773,1.08405579766176,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Maria Muldaur It Ain't The Meat It's The Motion\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"4471","Y&T","Contagious",0.666532379094268,0.597794859355026,1.11498513020571,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Y&T Contagious\"" frameborder=\""0\"" allowfullscreen></iframe>",238.05655,37.87869
"4504","Big Dee Irwin","Swinging On A Star",0.591291373387807,0.376377264756916,1.57100714829227,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Big Dee Irwin Swinging On A Star\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
"4533","CNANAmplices","Ojos Gitanos",0.565451012173698,0.510783845598435,1.1070260288111,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=CNANAmplices Ojos Gitanos\"" frameborder=\""0\"" allowfullscreen></iframe>",319.22895,-19.59634
"4575","Kool Moe Dee","Way Way Back",0.59733904278285,0.545866608601614,1.09429489433893,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Kool Moe Dee Way Way Back\"" frameborder=\""0\"" allowfullscreen></iframe>",286.0546,40.8079
"4584","Black Messiah","Gullveig",0.597108796072537,0.506776330413689,1.17824918062986,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Black Messiah Gullveig\"" frameborder=\""0\"" allowfullscreen></iframe>",7.66379,51.42721
"4635","The Exciters","Reaching For The Best",0.676281394850989,0.546648693633608,1.23714078662789,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=The Exciters Reaching For The Best\"" frameborder=\""0\"" allowfullscreen></iframe>",4.82897,45.7594
"4704","Jeff Beck","A Day In The Life (Album Version)",0.771471753056627,0.747684012455079,1.03181523237796,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Jeff Beck A Day In The Life (Album Version)\"" frameborder=\""0\"" allowfullscreen></iframe>",359.60465,51.27172
"4738","Sick Of It All","Death Or Jail",0.74842460448203,0.690626256119631,1.08368976396459,"<br><iframe width=\""200\"" height=\""150\"" src=\""http://www.youtube.com/embed?autoplay=1&listType=search&list=Sick Of It All Death Or Jail\"" frameborder=\""0\"" allowfullscreen></iframe>",285.99288,40.71455
